name,address,city,zip_code,latitude,longitude,visited,visited_date
Blue Ridge Place,Radford Ave NW & NW Milford Way,Seattle,98117,47.703423,-122.381171,N,
Boeing Creek Open Space,601 NW 175th St,Shoreline,,47.75647371163276,-122.36524090833348,N,
Boeing Creek Park,17229 3rd Ave NW,Shoreline,,47.75390676327098,-122.36352401520818,N,
Boren Place,321 Broadway,Seattle,98122,47.604999,-122.320952,N,
Bow Lake Park,5040 S 178th St,SeaTac,98188,47.44452269098942,-122.27100221885304,N,
Boylston Place,815 Broadway,Seattle,98104,47.609976,-122.32094,N,
Bradner Gardens Park,1730 Bradner Pl S,Seattle,98144,47.587419,-122.295426,N,
Bridle Crest Trail,,Redmond,,47.65940636258343,-122.12738430323635,N,
Bridle Trails Corner Park,2402 134th Ave NE,Bellevue,98005,47.632108452223,-122.16202327448,N,
Bridle Trails State Park,5300 116th Ave NE,Kirkland,,47.65326232422218,-122.17373249829392,N,
Bridle Trails Valley Creek Park,4432 140th Ave NE,Bellevue,98005,47.651100211651,-122.1530794586,N,
Brighton Playfield,6000 39th Ave S,Seattle,98118,47.548387,-122.2821,N,
Broadview Park,Greenwood Ave N & N 122nd St,Seattle,98133,47.717936,-122.355836,N,
Brookhaven Park,9911 NE 128th St,Kirkland,,47.71471776896474,-122.208215937672,N,
Brugger's Bog,19533 25th Ave NE,Shoreline,,47.77251475333458,-122.30435352070414,N,
Bryant Neighborhood Playground,4103 NE 65th St,Seattle,98115,47.675299,-122.283644,N,
Bud Homan Park,15305 119th Ave NE,Kirkland,,47.73952879657672,-122.18354133125148,N,
Burien Community Center,,Burien,,47.47100937917593,-122.34359438390108,N,
Burien Skate Park,14549 4th Ave. SW,Burien,,47.472757779176014,-122.34173518423142,N,
Burke-Gilman Playground Park,5201 Sand Point Way NE,Seattle,98105,47.666634,-122.282623,N,
Burnett Linear Park,502 Burnett Ave S,Renton,,47.47585834,-122.20806647,N,
Burrows Landing,9500 SE 15th Street,Bellevue,98004,47.59848888261,-122.21012891534,N,
Cal Anderson Park and Bobby Morris Playfield,1635 11th Ave,Seattle,98122,47.617013,-122.319134,N,
California Place,2099 California Ave SW,Seattle,98116,47.585641,-122.386696,N,
Camp Long,5200 35th Ave SW,Seattle,98126,47.556242,-122.373161,N,
Carillon Woods,5429 106th Ave NE,Kirkland,,47.656655391673,-122.19950133320589,N,
Carkeek Park,950 NW Carkeek Park Rd,Seattle,98117,47.712194,-122.379763,Y,2026-07-11
Carleton Center,2319 Westmont Way W,Seattle,98199,47.639414,-122.406385,N,
Carleton Highlands,3298 Perkins Ln W,Seattle,98199,47.650028,-122.415934,N,
Cascade Park,SE 162nd St & 122nd Ave SE,Renton,,47.45817121,-122.17578553,N,
Cascade Place,5119 Palmer Ct NW,Seattle,98107,47.666216,-122.358092,N,
Cascade Playground,333 Pontius Ave N,Seattle,98109,47.621405,-122.332355,N,
Cascade View Community Park,14211 37th Avenue South,Tukwila,98168,47.475875251492,-122.286556884083,N,
Cascade View Park,16202 NE 40th Street,Redmond,,47.64712050544736,-122.12305331494981,N,
Cedar Park,3737 NE 135th St,Seattle,98125,47.725808,-122.288042,N,
Cedar River Dog Park,1500 Houser Way S,Renton,,47.4760121,-122.19266303,N,
Cedar River Natural Area,Narco Property,Renton,,47.4760121,-122.19266303,N,
Cedar River Park,1715 SE Maple Valley Hwy,Renton,,47.48161923,-122.19623938,N,
Cedar River Trail - Logan to Library,,Renton,,47.49428682,-122.21304568,N,
Cedar River Trail - South,,Renton,,47.49428682,-122.21304568,N,
Cedar River Trail Extension,101 Burnett Pl S,Renton,,47.48396022,-122.20842642,N,
Cedar River Trail Park Lake to Logan,Logan to mouth of river,Renton,,47.49428682,-122.21304568,N,
Cedar View Park,11401 NE 90th St,Kirkland,,47.68194535231013,-122.18783137484364,N,
Cedarbrook Elementary Site,2000 NE PERKINS WAY,Shoreline,,47.7655938531444,-122.30807009366859,N,
Cesar Chavez Park,700 S Cloverdale St,Seattle,98108,47.52678,-122.32562,N,
Chandler Neighborhood Park,16692 SE 56th Pl,Bellevue,98006,47.553515377629,-122.11738384924,N,
Charles Richey Sr Viewpoint,3521 Beach Dr SW,Seattle,98116,47.57242,-122.413877,Y,
Cheasty Boulevard,Cheasty Blvd S & S Della St,Seattle,98144,47.572682,-122.299204,N,
Cheasty GS: Cheasty Blvd,Cheasty Blvd S & S Della St,Seattle,98144,47.572682,-122.299204,N,
Chelsea Park,802 SW 137th Street,Burien,,47.480148479176464,-122.34810248423116,N,
Cherry Crest Mini Park,2532 127th Ave NE,Bellevue,98005,47.633426710847,-122.1703720197,N,
Cherry Crest Park,12404 NE 32nd Street,Bellevue,98005,47.64164020847,-122.17373591534,N,
Chesterfield Beach Park,SE 25th St & Killarney Way,Bellevue,98004,47.588097557305,-122.204489701,N,
Chinook Beach Park,700 S Cloverdale St,Seattle,98118,47.520135,-122.258376,N,
Chism Beach Park,9600 SE 11th St,Bellevue,98004,47.600990845937,-122.21123683068,N,
Christie Park,817 NE 43rd St,Seattle,98105,47.659308,-122.319072,N,
City Dock at 84th Ave NE,84th Ave NE,Medina,98039,47.6115698792,-122.22825096299,N,
City Dock at Lake Lane,Lake Lane,Medina,98039,47.64226447493,-122.23601869061,N,
City Hall Park,450 3rd Ave,Seattle,98119,47.602022,-122.329875,N,
Cleveland Playfield,5512 13th Ave S,Seattle,98108,47.552012,-122.315542,N,
Cleveland Richardson Property,19415 Talbot Rd S,Renton,,47.42751627,-122.21666333,N,
Clyde Beach Park,2 92nd Ave NE,Bellevue,98004,47.61488023033,-122.21765050935,N,
Coal Creek Natural Area,,Bellevue,,47.537901833567,-122.13484346867,N,
Codiga Park,12535 50th Place South,Tukwila,98178,47.491373319669,-122.270786421512,N,
Coe Play Park,2420 7th Ave W,Seattle,98119,47.640108,-122.365952,N,
College Street Park,30th Ave S & S College St,Seattle,98144,47.582697,-122.294616,N,
College Street Ravine,5050 SW College St,Seattle,98116,47.583406,-122.395546,N,
Collingwood Mini Park,16030 SE 46th Way,Bellevue,98006,47.563370692159,-122.12610381349,N,
Colman Park,1800 Lake Washington Blvd S,Seattle,98144,47.58547,-122.288612,N,
Colman Playground,1740 23rd Ave S,Seattle,98122,47.587625,-122.301957,N,
Columbia Park,4721 Rainier Ave S,Seattle,98118,47.559792,-122.287394,N,
Commissioner's Waterway Mini Park,1669 148th Ave NE,Bellevue,98007,47.625518002439,-122.14348135966,N,
Commodore Park,3330 W Commodore Way,Seattle,98107,47.66538,-122.40014,Y,
Community Center,13735 24th Ave S,SeaTac,98168,47.480410215331055,-122.3038788211686,N,
Community Garden,13735 24th Ave S,SeaTac,98168,47.47922392126292,-122.30364697810572,N,
Conrad Olson Farm,"around the 189th ""block"" of NE 95th Street",Redmond,,47.68647730504623,-122.08818416019919,N,
Corliss Place,2166 N 50th St,Seattle,98103,47.665198,-122.330874,N,
Cormorant Cove,3701 Beach Dr SW,Seattle,98116,47.570984,-122.412089,Y,
Cottage Grove Park,5206 26th Ave SW,Seattle,98106,47.554364,-122.365311,N,
Cotton Hill Park,11006 NE 98th St,Kirkland,,47.68894674722821,-122.19339606929147,N,
Counterbalance Park: An Urban Oasis,700 Queen Anne Ave N,Seattle,98109,47.625683,-122.356323,N,
Cowen Park,5849 15th Ave NE,Seattle,98105,47.672596,-122.313072,N,
Crescent Place,7515 Orin Ct N,Seattle,98103,47.684317,-122.333029,N,
Crestview Park,16200 42nd Avenue South,Tukwila,98188,47.457881718693,-122.281087462168,N,
Crestwoods Park,1818 6th St,Kirkland,,47.693886303437715,-122.19549842047172,N,
Cromwell Park,18030 Meridian Ave N,Shoreline,,47.760133869580415,-122.33346544624493,N,
